id,name,realName
254,253,Phylloscopus collybita,Common chiffchaff
255,254,Circus cyaneus hudsonius,Circus cyaneus hudsonius
256,255,Grallina cyanoleuca,Magpie-lark
257,256,Plectrophenax nivalis,Snow bunting
258,257,Calamospiza melanocorys,Lark bunting
259,258,Regulus calendula,Ruby-crowned kinglet
260,259,Regulus ignicapilla,Common firecrest
261,260,Regulus regulus,Goldcrest
262,261,Regulus satrapa,Golden-crowned kinglet
263,262,Tyrannus melancholicus,Tropical kingbird
264,263,Pelecanus conspicillatus,Australian pelican
265,264,Aulacorhynchus prasinus,Emerald toucanet
266,265,Todiramphus sanctus,Sacred kingfisher
267,266,Icterus bullockii,Bullock's oriole
268,267,Spiza americana,Dickcissel
269,268,Tyrannus dominicensis,Gray kingbird
270,269,Chlidonias niger,Black tern
271,270,Oriturus superciliosus,Striped sparrow
272,271,Psarocolius montezuma,Montezuma oropendola
273,272,Turdus pilaris,Fieldfare
274,273,Notiomystis cincta,Stitchbird
275,274,Sagittarius serpentarius,Secretarybird
276,275,Psittacula krameri,Rose-ringed parakeet
277,276,Platycercus eximius,Eastern rosella
278,277,Protonotaria citrea,Prothonotary warbler
279,278,Megaceryle torquata,Ringed kingfisher
280,279,Nestor meridionalis,Kākā
281,280,Amazona viridigenalis,Red-crowned amazon
282,281,Amazona albifrons,White-fronted amazon
283,282,Amazona oratrix,Yellow-headed amazon
284,283,Saxicola rubetra,Whinchat
285,284,Ara militaris,Military macaw
286,285,Spizelloides arborea,American tree sparrow
287,286,Ceryle rudis,Pied kingfisher
288,287,Chloroceryle aenea,American pygmy kingfisher
289,288,Chloroceryle amazona,Amazon kingfisher
290,289,Myiozetetes similis,Social flycatcher
291,290,Toxostoma curvirostre,Curve-billed thrasher
292,291,Megaceryle alcyon,Belted kingfisher
293,292,Eremophila alpestris,Horned lark
294,293,Alisterus scapularis,Australian king parrot
295,294,Cinnyris jugularis,Olive-backed sunbird
296,295,Xiphorhynchus flavigaster,Ivory-billed woodcreeper
297,296,Jacana jacana,Wattled jacana
298,297,Phalaropus fulicarius,Red phalarope
299,298,Streptopelia turtur,European turtle dove
300,299,Pica hudsonia,Black-billed magpie
301,300,Corvus cornix,Hooded crow
302,301,Myiopsitta monachus,Monk parakeet
303,302,Streptopelia decaocto,Eurasian collared dove
304,303,Piranga ludoviciana,Western tanager
305,304,Ixobrychus exilis,Least bittern
